SeqNo,Date,ActEnergy,ReactEnergy,FPavg,wSpeedAvg,wDirAvg,TambAvg,tOn,tOFF,tAlarm
          1,2021-01-03,     0,     0,    -1,     0,     0,     0,  1249,     0,    79
          2,2021-01-03,     9,     0,    10,     4,     0,     0,     0,   194,    13
          3,2021-01-04,   133,     0,    10,    36,     0,     0,  1276,   722,   106
          4,2021-01-05,   209,     0,    -1,    79,     0,     0,  1259,  1341,   115
          5,2021-01-06,    22,     0,    10,    86,     0,     0,  1249,    81,    37
          6,2021-01-07,   318,     0,    -1,    81,     0,     0,     0,  1419,    21
          7,2021-01-08,    87,     0,    10,    82,     0,     0,  1249,   550,    34
          8,2021-01-09,    80,     0,    10,    75,     0,     0,  1249,   284,   274
          9,2021-01-10,    85,     0,    10,    54,     0,     0,     0,  1358,    82
         10,2021-01-11,    10,     0,    10,    29,     0,     0,  1249,    95,   163
         11,2021-01-12,   151,     0,    10,    53,     0,     0,     0,  1436,     4
         12,2021-01-13,   236,     0,    -1,    53,     0,     0,     0,   953,   487
         13,2021-01-14,   449,     0,    64,    61,     0,     0,     0,  1436,     4
         14,2021-01-15,   133,     0,    10,    48,     0,     0,     0,  1437,     3
         15,2021-01-16,    19,     0,    10,    38,     0,     0,     0,  1418,    22
         16,2021-01-17,   379,     0,    34,    56,     0,     0,  1249,   726,    33
         17,2021-01-18,    56,     0,    10,    45,     0,     0,     0,  1440,     0
         18,2021-01-19,     4,     0,    10,    44,     0,     0,     0,  1434,     6
         19,2021-01-20,   147,     0,    10,    75,     0,     0,     0,  1440,     0
         20,2021-01-21,   388,     0,    28,    89,     0,     0,     0,  1437,     3
         21,2021-01-22,   270,     0,    31,    92,     0,     0,     0,  1437,     3
         22,2021-01-23,   179,     0,    10,    90,     0,     0,     0,  1431,     9
         23,2021-01-24,    26,     0,    10,   123,     0,     0,     0,  1394,    46
         24,2021-01-25,    15,     0,    10,    89,     0,     0,     0,  1420,    20
         25,2021-01-26,     3,     0,    10,    91,     0,     0,     0,  1432,     8
         26,2021-01-27,     0,     0,    -1,    50,     0,     0,     0,  1424,    16
         27,2021-01-28,     0,     0,    -1,    54,     0,     0,  1249,     0,   751
         28,2021-01-29,     0,     0,    -1,   100,     0,     0,     0,   748,   692
         29,2021-01-30,     0,     0,    -1,    80,     0,     0,     0,  1407,    33
         30,2021-01-31,     0,     0,    -1,    84,     0,     0,     0,  1440,     0
         31,2021-02-01,     0,     0,    -1,    93,     0,     0,     0,  1440,     0
         32,2021-02-02,     0,     0,    -1,    55,     0,     0,  1249,     0,   747
         33,2021-02-03,     0,     0,    -1,    36,     0,     0,     0,   509,   931
         34,2021-02-04,     0,     0,    -1,    79,     0,     0,     0,  1440,     0
         35,2021-02-05,     0,     0,    -1,    89,     0,     0,  1249,     0,   546
         36,2021-02-06,     0,     0,    -1,    61,     0,     0,     0,     0,  1440
         37,2021-02-07,    58,     0,    10,    75,     0,     0,     0,   474,   966
         38,2021-02-08,   341,     0,    -1,    99,     0,     0,     0,  1362,    78
         39,2021-02-09,   502,     0,    -1,    90,     0,     0,     0,  1399,    41
         40,2021-02-10,   299,     0,    19,    81,     0,     0,  1249,   394,   138
         41,2021-02-11,   173,     0,    10,    73,     0,     0,     0,  1409,    31
         42,2021-02-12,    14,     0,    10,    39,     0,     0,     0,  1437,     3
         43,2021-02-13,   395,     0,    25,    62,     0,     0,   141,  1275,    24
         44,2021-02-14,   505,     0,    -1,    55,     0,     0,  1329,     0,   111
         45,2021-02-15,     2,     0,    10,    68,     0,     0,   143,   849,   448
         46,2021-02-16,     0,     0,    -1,    43,     0,     0,   979,     0,   461
         47,2021-02-17,     0,     0,    -1,    31,     0,     0,  1410,     0,    30
         48,2021-02-18,     0,     0,    -1,    27,     0,     0,   115,     0,  1325
         49,2021-02-19,     0,     0,    -1,    22,     0,     0,     5,   113,  1322
         50,2021-02-20,     0,     0,    -1,    46,     0,     0,     0,     0,  1440
         51,2021-02-21,     0,     0,    -1,    48,     0,     0,     0,     0,  1440
         52,2021-02-22,     0,     0,    -1,    33,     0,     0,     0,     0,  1440
         53,2021-02-23,     0,     0,    -1,    19,     0,     0,     0,     0,  1440
         54,2021-02-24,     0,     0,    -1,    25,     0,     0,     0,     0,  1440
         55,2021-02-25,     0,     0,    -1,    43,     0,     0,     0,    20,  1420
         56,2021-02-26,     0,     0,    -1,    29,     0,     0,     0,     0,  1440
         57,2021-02-27,     0,     0,    -1,    29,     0,     0,     1,    11,  1428
         58,2021-02-28,     0,     0,    -1,    38,     0,     0,     0,     0,  1440
